Bill_Id,Bill_Title,Bill_Type,Parliamentary_Year,Term,Standing_Committee,Sponsor_Count,Party_Diversity,Parties,Sponsors
"The Constitution (Amendment) Bill, 2017 (Amendment_5_14","The Constitution (Amendment) Bill, 2017 (Amendment in Article 160)
[Support]",Private,5,14,Not Applicable,64,1,MQM,Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Muhammad Kamal Malik;Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Muhammad Kamal Malik;Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Muhammad Kamal Malik;Dr. Khalid Maqbool Siddiqui;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Iqbal Muhammad Ali Khan;Kishwer Zehra;Dr. Fouzia Hameed;Saman Sultana Jafri;Dr. Nikhat Shakeel Khan;Sanjay Perwani;Muhammad Kamal Malik
"The Federal Universities (Amendment) Bill, 2019
[S_2_15","The Federal Universities (Amendment) Bill, 2019
[Support]",Private,2,15,Not Applicable,60,1,MQM,Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri
"The National Disaster Management (Amendment) Bill,_2_15","The National Disaster Management (Amendment) Bill, 2018
[Support]",Private,2,15,Not Applicable,60,1,MQM,Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri;Engineer Sabir Hussain;Salah-ud-Din;Iqbal Muhammad Ali Khan;Kishwer Zehra;Usama Qadri
"The Constitution (Amendment) Bill, 2018 (Articles _1_15","The Constitution (Amendment) Bill, 2018 (Articles 51 and 59)
[Support]",Private,1,15,Not Applicable,51,5,BAP;MQM;PML-N;PPPP;PTI,Tahira Aurangzeb;Syed Amin ul Haque;Khalid Hussain Magsi;Saleh Muhammad;Engineer Sabir Hussain;Iqbal Muhammad Ali Khan;Aftab Jehangir;Kishwer Zehra;Rana Muhammad Qasim Noon;Shaista Pervaiz;Malik Muhammad Aamir Dogar;Ali Khan Jadoon;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Uzma Riaz;Ms. Nafisa Shah;Prince Muhammad Nawaz Allai;Tahira Aurangzeb;Syed Amin ul Haque;Khalid Hussain Magsi;Saleh Muhammad;Engineer Sabir Hussain;Iqbal Muhammad Ali Khan;Aftab Jehangir;Kishwer Zehra;Rana Muhammad Qasim Noon;Shaista Pervaiz;Malik Muhammad Aamir Dogar;Ali Khan Jadoon;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Uzma Riaz;Ms. Nafisa Shah;Prince Muhammad Nawaz Allai;Tahira Aurangzeb;Syed Amin ul Haque;Khalid Hussain Magsi;Saleh Muhammad;Engineer Sabir Hussain;Iqbal Muhammad Ali Khan;Aftab Jehangir;Kishwer Zehra;Rana Muhammad Qasim Noon;Shaista Pervaiz;Malik Muhammad Aamir Dogar;Ali Khan Jadoon;Nafeesa Inayatullah Khan Khattak;Usama Qadri;Uzma Riaz;Ms. Nafisa Shah;Prince Muhammad Nawaz Allai
"The Pakistan Citizenship (Amendment) Bill, 2018
[S_5_14","The Pakistan Citizenship (Amendment) Bill, 2018
[Support]",Private,5,14,Not Applicable,44,2,MQM;PML-N,Syed Waseem Hussain;Syed Ayaz Ali Shah Sheerazi;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Muhammad Ali Rashid;Sajid Ahmed;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Bhawan Das;Muhammad Kamal Malik;Syed Waseem Hussain;Syed Ayaz Ali Shah Sheerazi;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Muhammad Ali Rashid;Sajid Ahmed;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Bhawan Das;Muhammad Kamal Malik;Syed Waseem Hussain;S. A. Iqbal Qadri;Mehboob Alam;Abdul Waseem;Shaikh Salahuddin;Dr. Muhammad Farooq Sattar;Syed Ali Raza Abidi;Muhammad Muzammil Qureshi;Muhammad Ali Rashid;Sajid Ahmed;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Bhawan Das;Muhammad Kamal Malik
"The Exit from Pakistan (Control) (Amendment) Bill,_2_15","The Exit from Pakistan (Control) (Amendment) Bill, 2019
[Support]",Private,2,15,Not Applicable,36,1,PPPP,Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf
"The Banking Companies (Amendment) Bill, 2019
[Supp_2_15","The Banking Companies (Amendment) Bill, 2019
[Support]",Private,2,15,Not Applicable,36,1,PPPP,Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf;Shazia Marri;Syed Naveed Qamar;Raja Pervez Ashraf
"The Criminal Laws (Amendment) Bill, 2022
[Support]_4_15","The Criminal Laws (Amendment) Bill, 2022
[Support]",Private,4,15,Not Applicable,36,3,PML-N;PPPP;PTI,Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Asma Hadeed;Romina Khurshid Alam;Nooreen Farooq Khan;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Asma Hadeed;Romina Khurshid Alam;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Choudhary Faqir Ahmad;Asma Hadeed;Romina Khurshid Alam;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Choudhary Faqir Ahmad;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Choudhary Faqir Ahmad;Asma Hadeed;Romina Khurshid Alam;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani
"The Constitution (Amendment) Bill, 2018 (Articles _5_14","The Constitution (Amendment) Bill, 2018 (Articles 51 and 106)
[Support]",Private,5,14,Not Applicable,36,2,MQM;PML-N,Aslam Bodla;Dr. Hafeez Ur Rehman Khan;Dr. Khalid Maqbool Siddiqui;S. A. Iqbal Qadri;Shaikh Salahuddin;Tahira Aurangzeb;Parveen Masood Bhatti;Seema Mohiuddin Jameeli;Shahnaz Saleem Malik;Kishwer Zehra;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Aslam Bodla;Dr. Hafeez Ur Rehman Khan;Dr. Khalid Maqbool Siddiqui;S. A. Iqbal Qadri;Shaikh Salahuddin;Tahira Aurangzeb;Parveen Masood Bhatti;Seema Mohiuddin Jameeli;Shahnaz Saleem Malik;Kishwer Zehra;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan;Aslam Bodla;Dr. Hafeez Ur Rehman Khan;Dr. Khalid Maqbool Siddiqui;S. A. Iqbal Qadri;Shaikh Salahuddin;Tahira Aurangzeb;Parveen Masood Bhatti;Seema Mohiuddin Jameeli;Shahnaz Saleem Malik;Kishwer Zehra;Dr. Fouzia Hameed;Dr. Nikhat Shakeel Khan
"The Criminal Laws (Amendment) Bill, 2021
[Support]_4_15","The Criminal Laws (Amendment) Bill, 2021
[Support]",Private,4,15,Not Applicable,33,4,MMA;PML-N;PPPP;PTI,James Iqbal;Asma Hadeed;James Iqbal;Asma Hadeed;Nooreen Farooq Khan;James Iqbal;Sher Akbar Khan;Riaz Fatyana;Mehnaz Akber Aziz;Asma Hadeed;Naz Baloch;Sher Ali Arbab;Nooreen Farooq Khan;James Iqbal;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Asma Hadeed;Romina Khurshid Alam;Nooreen Farooq Khan;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Tahira Aurangzeb;Rao Muhammad Ajmal Khan;Asma Hadeed;Romina Khurshid Alam;Nooreen Farooq Khan;Fauzia Behram;Kiran Imran;Dr. Seemin Abdul Rehman Bokhari;Mrs. Shahida Rehmani;Nooreen Farooq Khan
