Id,Label,Latest_Party,Total_Bills,Government_Bills,Private_Bills
Riaz Fatyana,Riaz Fatyana,PTI,537,1,536
Syed Fakhar Imam,Syed Fakhar Imam,PTI,465,2,463
Amjid Ali Khan,Amjid Ali Khan,PTI,381,0,381
Kishwer Zehra,Kishwer Zehra,MQM,202,0,202
Mian Najibuddin Awaisi,Mian Najibuddin Awaisi,PML-N,186,0,186
Mohammad Ishaq Dar,Mohammad Ishaq Dar,IND,144,144,0
Nafeesa Inayatullah Khan Khattak,Nafeesa Inayatullah Khan Khattak,PTI,134,0,134
Zaheer-ud-Din Babar Awan,Zaheer-ud-Din Babar Awan,PTI,114,113,1
Iqbal Muhammad Ali Khan,Iqbal Muhammad Ali Khan,MQM,108,0,108
Syed Javed Hassnain,Syed Javed Hassnain,PML-N,100,0,100
Zahid Hamid Khan,Zahid Hamid Khan,PML-N,90,90,0
Shazia Marri,Shazia Marri,PPPP,89,4,85
Dr. Nikhat Shakeel Khan,Dr. Nikhat Shakeel Khan,MQM,86,0,86
Muhammad Muzammil Qureshi,Muhammad Muzammil Qureshi,MQM,83,0,83
Mohsin Javed,Mohsin Javed,IND,82,0,82
Sardar Ayaz Sadiq,Sardar Ayaz Sadiq,PML-N,81,5,76
Shafqat Mehmood,Shafqat Mehmood,PTI,81,78,3
Muhammad Farogh Nasim,Muhammad Farogh Nasim,MQM,79,79,0
Ms. Nafisa Shah,Ms. Nafisa Shah,PPPP,75,0,75
Usama Qadri,Usama Qadri,MQM,74,0,74
James Iqbal,James Iqbal,MMA,72,0,72
Salah-ud-Din,Salah-ud-Din,MQM,71,0,71
Uzma Riaz,Uzma Riaz,PTI,70,0,70
Rana Tanveer Hussain,Rana Tanveer Hussain,PML-N,69,67,2
Mrs. Aliya Kamran,Mrs. Aliya Kamran,MMA,66,0,66
S. A. Iqbal Qadri,S. A. Iqbal Qadri,MQM,65,0,65
Syed Naveed Qamar,Syed Naveed Qamar,PPPP,65,20,45
Saman Sultana Jafri,Saman Sultana Jafri,MQM,64,0,64
Sheikh Aftab Ahmed,Sheikh Aftab Ahmed,PML-N,63,60,3
Engineer Sabir Hussain,Engineer Sabir Hussain,MQM,63,0,63
Dr. Abdul Hafeez Sheikh,Dr. Abdul Hafeez Sheikh,Minister,61,61,0
Shaikh Salahuddin,Shaikh Salahuddin,MQM,60,0,60
Azam Nazeer Tarar,Azam Nazeer Tarar,PML-N,59,59,0
Asad Umar,Asad Umar,PTI,54,36,18
Khawaja Muhammad Asif,Khawaja Muhammad Asif,PML-N,53,37,16
Syed Rafiullah,Syed Rafiullah,PPPP,52,0,52
Dr. Shireen Mehrunnisa Mazari,Dr. Shireen Mehrunnisa Mazari,PTI,51,38,13
Shaza Fatima Khawaja,Shaza Fatima Khawaja,PML-N,51,4,47
Qadir Khan Mandokhail,Qadir Khan Mandokhail,PPPP,49,0,49
Khurram Dastgir Khan,Khurram Dastgir Khan,PML-N,49,26,23
