Source,Target,Weight,Type,Same_Party_Then,Cross_Party_Then,Same_Party_Now,Government_Bills_Together,Private_Bills_Together,Parliamentary_Years,Terms,Shared_Committees_Count,Shared_Committees
Riaz Fatyana,Syed Fakhar Imam,627,Undirected,627,0,1,0,627,1;2,15,0,
Amjid Ali Khan,Riaz Fatyana,437,Undirected,437,0,1,0,437,1;2,15,0,
Amjid Ali Khan,Syed Fakhar Imam,394,Undirected,394,0,1,0,394,1;2,15,0,
Mian Najibuddin Awaisi,Riaz Fatyana,259,Undirected,0,259,0,0,259,1;2,15,0,
Mian Najibuddin Awaisi,Syed Fakhar Imam,259,Undirected,0,259,0,0,259,1;2,15,0,
Iqbal Muhammad Ali Khan,Kishwer Zehra,140,Undirected,140,0,1,0,140,1;2;3;4;5,14;15,1,"Law, Justice and Human Rights"
Kishwer Zehra,Salah-ud-Din,125,Undirected,125,0,1,0,125,1;2;5,15,0,
Kishwer Zehra,Usama Qadri,123,Undirected,123,0,1,0,123,1;2;3;4,15,1,Law and Justice
Riaz Fatyana,Riaz Fatyana,113,Undirected,113,0,1,0,113,1;2;3;4,15,0,
Iqbal Muhammad Ali Khan,Salah-ud-Din,111,Undirected,111,0,1,0,111,1;2,15,0,
Salah-ud-Din,Usama Qadri,109,Undirected,109,0,1,0,109,1;2,15,0,
Iqbal Muhammad Ali Khan,Usama Qadri,107,Undirected,107,0,1,0,107,1;2;3;4,15,0,
Syed Fakhar Imam,Syed Fakhar Imam,92,Undirected,92,0,1,0,92,1;2,15,0,
Zaheer-ud-Din Babar Awan,Zaheer-ud-Din Babar Awan,86,Undirected,86,0,1,86,0,3;4,15,0,
Engineer Sabir Hussain,Kishwer Zehra,85,Undirected,85,0,1,0,85,1;2;3,15,0,
Engineer Sabir Hussain,Salah-ud-Din,76,Undirected,76,0,1,0,76,1;2,15,0,
Amjid Ali Khan,Amjid Ali Khan,74,Undirected,74,0,1,0,74,1;2;3;4,15,0,
Asad Umar,Asad Umar,71,Undirected,71,0,1,69,2,1;2;3;4;5,14;15,0,
Engineer Sabir Hussain,Iqbal Muhammad Ali Khan,71,Undirected,71,0,1,0,71,1;2;3,15,0,
Dr. Nikhat Shakeel Khan,Muhammad Muzammil Qureshi,69,Undirected,69,0,1,0,69,1;2;3;4;5,14,4,"Cabinet Secretariat;Human Rights;Interior and Narcotics Control;Law, Justice and Human Rights"
Engineer Sabir Hussain,Usama Qadri,68,Undirected,68,0,1,0,68,1;2;3,15,0,
Dr. Nikhat Shakeel Khan,Kishwer Zehra,68,Undirected,68,0,1,0,68,1;2;3;4;5,14,4,"Cabinet Secretariat;Interior and Narcotics Control;Law and Justice;Law, Justice and Human Rights"
Shafqat Mehmood,Shafqat Mehmood,66,Undirected,66,0,1,65,1,1;2;3;4,14;15,0,
Dr. Nikhat Shakeel Khan,Saman Sultana Jafri,66,Undirected,66,0,1,0,66,1;2;3;4;5,14,4,"Human Rights;Interior and Narcotics Control;Law and Justice;Law, Justice and Human Rights"
James Iqbal,James Iqbal,65,Undirected,65,0,1,0,65,3;4;5,15,0,
Muhammad Muzammil Qureshi,Saman Sultana Jafri,64,Undirected,64,0,1,0,64,1;2;3;4;5,14,3,"Human Rights;Interior and Narcotics Control;Law, Justice and Human Rights"
Ms. Nafisa Shah,Ms. Nafisa Shah,59,Undirected,59,0,1,0,59,1;2;3;4;5,14;15,0,
Kishwer Zehra,Kishwer Zehra,59,Undirected,59,0,1,0,59,1;2;3;4;5,14;15,0,
Kishwer Zehra,Muhammad Muzammil Qureshi,53,Undirected,53,0,1,0,53,1;2;3;4;5,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Mrs. Aliya Kamran,Muhammad Jamal Ud Din,53,Undirected,53,0,1,0,53,3;5,14;15,1,"Law, Justice and Human Rights"
Raja Pervez Ashraf,Syed Naveed Qamar,52,Undirected,52,0,1,0,52,1;2,15,0,
Shazia Marri,Syed Naveed Qamar,52,Undirected,52,0,1,0,52,1;2,15,0,
Raja Pervez Ashraf,Shazia Marri,52,Undirected,52,0,1,0,52,1;2,15,0,
Mrs. Aliya Kamran,Salah Ud Din Ayubi,52,Undirected,52,0,1,0,52,1;5,15,0,
Kishwer Zehra,Saman Sultana Jafri,49,Undirected,49,0,1,0,49,1;2;3;4;5,14,3,"Interior and Narcotics Control;Law and Justice;Law, Justice and Human Rights"
S. A. Iqbal Qadri,Shaikh Salahuddin,49,Undirected,49,0,1,0,49,1;2;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Muhammad Jamal Ud Din,Muhammad Jamal Ud Din,49,Undirected,49,0,1,0,49,4;5,15,0,
Dr. Nikhat Shakeel Khan,Shaikh Salahuddin,47,Undirected,47,0,1,0,47,1;2;3;4;5,14,3,"Human Rights;Interior and Narcotics Control;Law, Justice and Human Rights"
Mohammad Ishaq Dar,Mohammad Ishaq Dar,47,Undirected,47,0,1,47,0,1;2;3;4;5,14;15;16,0,
Musadik Masood Malik,Musadik Masood Malik,45,Undirected,45,0,1,45,0,5,15,0,
Iqbal Muhammad Ali Khan,Iqbal Muhammad Ali Khan,43,Undirected,43,0,1,0,43,1;2;3;4;5,14;15,0,
Muhammad Jamal Ud Din,Salah Ud Din Ayubi,42,Undirected,42,0,1,0,42,5,15,0,
Sardar Ayaz Sadiq,Sardar Ayaz Sadiq,42,Undirected,42,0,1,6,36,2;3;5,15,0,
Dr. Nikhat Shakeel Khan,S. A. Iqbal Qadri,41,Undirected,41,0,1,0,41,1;2;3;4;5,14,4,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights;Parliamentary Affairs"
Muhammad Muzammil Qureshi,Shaikh Salahuddin,41,Undirected,41,0,1,0,41,1;2;4;5,14,3,"Human Rights;Interior and Narcotics Control;Law, Justice and Human Rights"
Kishwer Zehra,Shaikh Salahuddin,41,Undirected,41,0,1,0,41,1;2;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Abdul Waseem,Shaikh Salahuddin,40,Undirected,40,0,1,0,40,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Mohsin Javed,Mohsin Javed,39,Undirected,39,0,1,0,39,1;3;4;5,15,0,
Nafeesa Inayatullah Khan Khattak,Nafeesa Inayatullah Khan Khattak,38,Undirected,38,0,1,0,38,1;2;3;4;5,14;15,0,
Kishwer Zehra,Syed Amin ul Haque,37,Undirected,37,0,1,0,37,1;2,15,0,
Mian Najibuddin Awaisi,Mian Najibuddin Awaisi,37,Undirected,37,0,1,0,37,1,15,0,
Mohammad Aslam Bhootani,Mohammad Aslam Bhootani,37,Undirected,37,0,1,0,37,5,15,0,
Engineer Sabir Hussain,Syed Amin ul Haque,37,Undirected,37,0,1,0,37,1;2,15,0,
Ijaz Ahmad Shah,Ijaz Ahmad Shah,34,Undirected,34,0,1,34,0,1;2,15,0,
Dr. Fouzia Hameed,Dr. Nikhat Shakeel Khan,34,Undirected,34,0,1,0,34,3;4;5,14,1,Law and Justice
Dr. Fouzia Hameed,S. A. Iqbal Qadri,32,Undirected,32,0,1,0,32,3;4;5,14,0,
Syed Javed Hassnain,Syed Javed Hassnain,32,Undirected,32,0,1,0,32,1;2;3;4;5,15,0,
Muhammad Muzammil Qureshi,Syed Ali Raza Abidi,31,Undirected,31,0,1,0,31,1;3;4;5,14,1,"Law, Justice and Human Rights"
Kishwer Zehra,S. A. Iqbal Qadri,31,Undirected,31,0,1,0,31,1;2;3;4;5,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Zahid Hamid Khan,Zahid Hamid Khan,31,Undirected,31,0,1,31,0,3;4;5,14,0,
