Id,Label,Latest_Party,Party_Term_14,Party_Term_15,Party_Term_16,All_Parties,Party_Changes_Count,Party_Stable,Total_Bills,Government_Bills,Private_Bills,Parliamentary_Years_Count,Parliamentary_Years,Terms_Count,Terms,Committees_Count,Committees
Riaz Fatyana,Riaz Fatyana,PTI,,PTI,,PTI,0,1,537,1,536,4,1;2;3;4,1,15,0,
Syed Fakhar Imam,Syed Fakhar Imam,PTI,,PTI,,PTI,0,1,465,2,463,3,1;2;4,1,15,0,
Amjid Ali Khan,Amjid Ali Khan,PTI,,PTI,,PTI,0,1,381,0,381,4,1;2;3;4,1,15,1,Cabinet Secretariat
Kishwer Zehra,Kishwer Zehra,MQM,MQM,MQM,,MQM,0,1,202,0,202,5,1;2;3;4;5,2,14;15,4,"Cabinet Secretariat;Interior and Narcotics Control;Law and Justice;Law, Justice and Human Rights"
Mian Najibuddin Awaisi,Mian Najibuddin Awaisi,PML-N,,PML-N,,PML-N,0,1,186,0,186,2,1;2,1,15,0,
Mohammad Ishaq Dar,Mohammad Ishaq Dar,IND,PML-N,IND,PML-N,IND;PML-N,1,0,144,144,0,5,1;2;3;4;5,3,14;15;16,1,"Finance, Revenue, Economic Affairs, Statistics and Privatization"
Nafeesa Inayatullah Khan Khattak,Nafeesa Inayatullah Khan Khattak,PTI,PTI,PTI,,PTI,0,1,134,0,134,5,1;2;3;4;5,2,14;15,4,Cabinet Secretariat;Federal Education and Professional Training;Interior and Narcotics Control;Parliamentary Affairs
Zaheer-ud-Din Babar Awan,Zaheer-ud-Din Babar Awan,PTI,,PTI,,PTI,0,1,114,113,1,3,2;3;4,1,15,0,
Iqbal Muhammad Ali Khan,Iqbal Muhammad Ali Khan,MQM,MQM,MQM,,MQM,0,1,108,0,108,5,1;2;3;4;5,2,14;15,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Syed Javed Hassnain,Syed Javed Hassnain,PML-N,,PML-N,,PML-N,0,1,100,0,100,5,1;2;3;4;5,1,15,1,Law and Justice
Zahid Hamid Khan,Zahid Hamid Khan,PML-N,PML-N,,,PML-N,0,1,90,90,0,3,3;4;5,1,14,1,Law and Justice
Shazia Marri,Shazia Marri,PPPP,PPPP,PPPP,PPPP,PPPP,0,1,89,4,85,5,1;2;3;4;5,3,14;15;16,1,Parliamentary Affairs
Dr. Nikhat Shakeel Khan,Dr. Nikhat Shakeel Khan,MQM,MQM,,,MQM,0,1,86,0,86,5,1;2;3;4;5,1,14,6,"Cabinet Secretariat;Human Rights;Interior and Narcotics Control;Law and Justice;Law, Justice and Human Rights;Parliamentary Affairs"
Muhammad Muzammil Qureshi,Muhammad Muzammil Qureshi,MQM,MQM,,,MQM,0,1,83,0,83,5,1;2;3;4;5,1,14,4,"Cabinet Secretariat;Human Rights;Interior and Narcotics Control;Law, Justice and Human Rights"
Mohsin Javed,Mohsin Javed,IND,,IND,,IND,0,1,82,0,82,5,1;2;3;4;5,1,15,0,
Sardar Ayaz Sadiq,Sardar Ayaz Sadiq,PML-N,,PML-N,,PML-N,0,1,81,5,76,3,2;3;5,1,15,0,
Shafqat Mehmood,Shafqat Mehmood,PTI,PTI,PTI,,PTI,0,1,81,78,3,4,1;2;3;4,2,14;15,1,Federal Education & Professional Training
Muhammad Farogh Nasim,Muhammad Farogh Nasim,MQM,,MQM,,MQM,0,1,79,79,0,4,1;2;3;4,1,15,0,
Ms. Nafisa Shah,Ms. Nafisa Shah,PPPP,PPPP,PPPP,,PPPP,0,1,75,0,75,5,1;2;3;4;5,2,14;15,5,"Cabinet Secretariat;Law and Justice;Law, Justice and Human Rights;National Health Services, Regulations and Coordination;Parliamentary Affairs"
Usama Qadri,Usama Qadri,MQM,,MQM,,MQM,0,1,74,0,74,5,1;2;3;4;5,1,15,1,Law and Justice
James Iqbal,James Iqbal,MMA,,MMA,,MMA,0,1,72,0,72,4,2;3;4;5,1,15,2,Interior and Narcotics Control;Law and Justice
Salah-ud-Din,Salah-ud-Din,MQM,,MQM,,MQM,0,1,71,0,71,3,1;2;5,1,15,0,
Uzma Riaz,Uzma Riaz,PTI,,PTI,,PTI,0,1,70,0,70,4,1;2;3;4,1,15,3,"Federal Education and Professional Training;Finance, Revenue, Economic Affairs, Statistics and Privatization;Parliamentary Affairs"
Rana Tanveer Hussain,Rana Tanveer Hussain,PML-N,PML-N,PML-N,PML-N,PML-N,0,1,69,67,2,4,1;3;4;5,3,14;15;16,2,Federal Education and Professional Training;Science and Technology
Mrs. Aliya Kamran,Mrs. Aliya Kamran,MMA,JUI,MMA,,JUI;MMA,1,0,66,0,66,5,1;2;3;4;5,2,14;15,3,"Defence;Interior and Narcotics Control;Law, Justice and Human Rights"
S. A. Iqbal Qadri,S. A. Iqbal Qadri,MQM,MQM,,,MQM,0,1,65,0,65,5,1;2;3;4;5,1,14,4,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights;Parliamentary Affairs"
Syed Naveed Qamar,Syed Naveed Qamar,PPPP,,PPPP,PPPP,PPPP,0,1,65,20,45,4,1;2;4;5,2,15;16,0,
Saman Sultana Jafri,Saman Sultana Jafri,MQM,MQM,,,MQM,0,1,64,0,64,5,1;2;3;4;5,1,14,4,"Human Rights;Interior and Narcotics Control;Law and Justice;Law, Justice and Human Rights"
Sheikh Aftab Ahmed,Sheikh Aftab Ahmed,PML-N,PML-N,,PML-N,PML-N,0,1,63,60,3,5,1;2;3;4;5,2,14;16,6,"Cabinet Secretariat;Defence;Finance, Revenue, Economic Affairs, Statistics and Privatization;Interior and Narcotics Control;Law, Justice and Human Rights;Parliamentary Affairs"
Engineer Sabir Hussain,Engineer Sabir Hussain,MQM,,MQM,,MQM,0,1,63,0,63,4,1;2;3;4,1,15,1,Communication
Dr. Abdul Hafeez Sheikh,Dr. Abdul Hafeez Sheikh,Minister,,Minister,,Minister,0,1,61,61,0,3,1;2;3,1,15,0,
Shaikh Salahuddin,Shaikh Salahuddin,MQM,MQM,,,MQM,0,1,60,0,60,5,1;2;3;4;5,1,14,3,"Human Rights;Interior and Narcotics Control;Law, Justice and Human Rights"
Azam Nazeer Tarar,Azam Nazeer Tarar,PML-N,,PML-N,PML-N,PML-N,0,1,59,59,0,3,1;4;5,2,15;16,3,Interior and Narcotics Control;Law and Justice;Parliamentary Affairs
Asad Umar,Asad Umar,PTI,PTI,PTI,,PTI,0,1,54,36,18,5,1;2;3;4;5,2,14;15,3,Cabinet Secretariat;Interior and Narcotics Control;Planning and Development
Khawaja Muhammad Asif,Khawaja Muhammad Asif,PML-N,PML-N,PML-N,PML-N,PML-N,0,1,53,37,16,5,1;2;3;4;5,3,14;15;16,3,Committee Name;Defence;Water and Power
Syed Rafiullah,Syed Rafiullah,PPPP,,PPPP,PPPP,PPPP,0,1,52,0,52,4,1;2;3;4,2,15;16,0,
Dr. Shireen Mehrunnisa Mazari,Dr. Shireen Mehrunnisa Mazari,PTI,PTI,PTI,,PTI,0,1,51,38,13,4,1;2;3;4,2,14;15,2,Foreign Affairs;Parliamentary Affairs
Shaza Fatima Khawaja,Shaza Fatima Khawaja,PML-N,PML-N,PML-N,PML-N,PML-N,0,1,51,4,47,5,1;2;3;4;5,3,14;15;16,0,
Qadir Khan Mandokhail,Qadir Khan Mandokhail,PPPP,,PPPP,,PPPP,0,1,49,0,49,2,4;5,1,15,2,Cabinet Secretariat;Law and Justice
Khurram Dastgir Khan,Khurram Dastgir Khan,PML-N,PML-N,PML-N,,PML-N,0,1,49,26,23,4,2;3;4;5,2,14;15,0,
Sajida Begum,Sajida Begum,PTI,PTI,PTI,,PTI,0,1,49,0,49,5,1;2;3;4;5,2,14;15,1,Commerce
Naveed Aamir,Naveed Aamir,PPPP,,PPPP,,PPPP,0,1,48,0,48,5,1;2;3;4;5,1,15,1,Interior and Narcotics Control
Dr. Fouzia Hameed,Dr. Fouzia Hameed,MQM,MQM,,,MQM,0,1,47,0,47,3,3;4;5,1,14,2,Human Rights;Law and Justice
Ijaz Ahmad Shah,Ijaz Ahmad Shah,PTI,,PTI,,PTI,0,1,47,46,1,3,1;2;3,1,15,0,
Pervaiz Rashid,Pervaiz Rashid,PML-N,PML-N,,,PML-N,0,1,46,46,0,3,1;2;3,1,14,5,"Finance, Revenue, Economic Affairs, Statistics and Privatization;Interior and Narcotics Control;Law, Justice and Human Rights;National Health Services, Regulations and Coordination;Petroleum and Natural Resources"
Kesoo Mal Kheeal Das,Kesoo Mal Kheeal Das,PML-N,,PML-N,,PML-N,0,1,45,0,45,5,1;2;3;4;5,1,15,1,Cabinet Secretariat
Mrs. Shahida Rehmani,Mrs. Shahida Rehmani,PPPP,PPPP,PPPP,,PPPP,0,1,43,0,43,5,1;2;3;4;5,2,14;15,3,Committee of Whole;Interior;Religious Affairs and Inter-faith Harmony
Moulana Abdul Akbar Chitrali,Moulana Abdul Akbar Chitrali,MMA,,MMA,,MMA,0,1,43,0,43,5,1;2;3;4;5,1,15,1,Interior and Narcotics Control
Dr. Ramesh Kumar Vankwani,Dr. Ramesh Kumar Vankwani,PTI,PML-N,PTI,,PML-N;PTI,1,0,41,0,41,5,1;2;3;4;5,2,14;15,1,"Law, Justice and Human Rights"
