"Legislator","Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Total_Bills"
"Riaz Fatyana","PTI",35,0.0265519908881489,0.25134168157424,1,0.0135004335974671,537
"Syed Fakhar Imam","PTI",26,0.00621942725797742,0.237130801687764,0.956692038636619,0.0121797585652029,465
"Amjid Ali Khan","PTI",20,0.0131371283987756,0.221958925750395,0.735458941719244,0.00916731347808262,381
"Kishwer Zehra","MQM",58,0.0140713853798664,0.224261771747805,0.000335113476343423,0.0202816993353225,202
"Mian Najibuddin Awaisi","PML-N",16,0.0433870920843132,0.219702892885066,0.431924977635208,0.00529218664465001,186
"Mohammad Ishaq Dar","IND",2,0,NA,0,0.00294117647059922,144
"Nafeesa Inayatullah Khan Khattak","PTI",64,0.036935157998853,0.252470799640611,0.0115538386364004,0.0106645346108889,134
"Zaheer-ud-Din Babar Awan","PTI",4,0.00973974969890559,0.0843337334933974,9.45495058433398e-08,0.00389425512293322,114
"Iqbal Muhammad Ali Khan","MQM",63,0.0242771023304572,0.220219435736677,0.000310647366970739,0.015526113050447,108
"Syed Javed Hassnain","PML-N",21,0.0170576649990395,0.229575163398693,1.0424158341644e-05,0.00569532225875194,100
"Zahid Hamid Khan","PML-N",2,0,NA,0,0.00294117647059922,90
"Shazia Marri","PPPP",10,0.0132782606177001,0.196916608269096,0.000872432712226061,0.00530508288734995,89
"Dr. Nikhat Shakeel Khan","MQM",49,0.00447249797139713,0.194598337950139,3.09224518198495e-05,0.0112462345560295,86
"Muhammad Muzammil Qureshi","MQM",28,0.00177114840816539,0.202012940330697,2.41757497410753e-05,0.00825885472455419,83
"Mohsin Javed","IND",11,0.00973974969890559,0.210486891385768,0.00763120912074129,0.00503841799936377,82
"Sardar Ayaz Sadiq","PML-N",22,0.0403466987721278,0.229762878168438,4.94663532971891e-05,0.00435978339019675,81
"Shafqat Mehmood","PTI",11,0,0.111507936507937,6.42402399431264e-07,0.0053788509137352,81
"Muhammad Farogh Nasim","MQM",4,0,0.141919191919192,5.6079300331702e-08,0.00289076571012689,79
"Ms. Nafisa Shah","PPPP",34,0.00979660216652089,0.126292134831461,9.97673914040491e-05,0.00698040321187144,75
"Usama Qadri","MQM",30,0.00982584007084497,0.219017926734217,0.000294394353673302,0.00985569404773457,74
"James Iqbal","MMA",23,0.0200423875453672,0.234166666666667,0.000917584343831783,0.00592151061764518,72
"Salah-ud-Din","MQM",19,0.00423152992892563,0.21953125,0.000217241303562905,0.00868451095239158,71
