"Community_Label","Community_ID","Legislator","Party","Degree"
"C01",1,"Sardar Ayaz Sadiq","PML-N",22
"C01",1,"Rana Tanveer Hussain","PML-N",10
"C01",1,"Azam Nazeer Tarar","PML-N",4
"C01",1,"Khawaja Muhammad Asif","PML-N",13
"C01",1,"Shaza Fatima Khawaja","PML-N",18
"C01",1,"Khurram Dastgir Khan","PML-N",13
"C01",1,"Marriyum Aurangzeb","PML-N",19
"C01",1,"Mohsin Shah Nawaz Ranjha","PML-N",18
"C01",1,"Rana Sana Ullah Khan","PML-N",19
"C01",1,"Murtaza Javed Abbasi","PML-N",10
"C01",1,"Khawaja Saad Rafique","PML-N",12
"C01",1,"Ahsan Iqbal","PML-N",10
"C01",1,"Shahid Khaqan Abbasi","PML-N",12
"C01",1,"Sardar Muhammad Irfan Dogar","PML-N",20
"C01",1,"Syed Iftikhar Ul Hassan","PML-N",5
"C01",1,"Rana Mubashir lqbal","PML-N",5
"C01",1,"Muhammad Sajjad","PML-N",10
"C01",1,"Abdul Rehman Khan Kanju","PML-N",8
"C01",1,"Shahadat Awan","PPPP",1
"C01",1,"Ijaz Ahmad Shah","PTI",11
"C01",1,"Muhammad Azam Khan Swati","PTI",9
"C02",2,"Dr. Abdul Hafeez Sheikh","Minister",3
"C02",2,"Zaheer-ud-Din Babar Awan","PTI",4
"C02",2,"Muhammad Hammad Azhar","PTI",4
"C03",3,"Farrukh Khan","PML",8
"C03",3,"Kesoo Mal Kheeal Das","PML-N",14
"C03",3,"Zahra Wadood Fatemi","PML-N",26
"C03",3,"Dr. Zulfiqar Ali Bhatti","PML-N",11
"C03",3,"Mehnaz Akber Aziz","PML-N",29
"C03",3,"Romina Khurshid Alam","PML-N",34
"C03",3,"Samina Matloob","PML-N",26
"C03",3,"Choudhary Faqir Ahmad","PML-N",13
"C03",3,"Rana Iradat Sharif Khan","PML-N",19
"C03",3,"Kiran Imran","PML-N",11
"C03",3,"Rao Muhammad Ajmal Khan","PML-N",11
"C03",3,"Ch. Muhammad Ashraf","PML-N",17
"C03",3,"Dr. Darshan","PML-N",15
"C03",3,"Kesoo Mal Kheal Das","PML-N",5
"C03",3,"Syed Sajid Mehdi","PML-N",18
"C03",3,"Shakila Khalid Chaudhary","PML-N",6
"C03",3,"Syed Imran Ahmad Shah","PML-N",7
"C03",3,"Nelson Azeem","PML-N",3
"C03",3,"Ihsan ul Haq Bajwa","PML-N",4
"C03",3,"Ch. Iftikhar Nazir","PML-N",15
"C03",3,"Zulfiqar Ahmad","PML-N",4
"C03",3,"Mrs. Shahida Rehmani","PPPP",14
"C03",3,"Naveed Amir","PPPP",10
"C03",3,"Ramesh Lal","PPPP",21
"C03",3,"Mahesh Kumar Malani","PPPP",6
"C03",3,"Naz Baloch","PPPP",7
"C03",3,"Mirza Ikhtiar Baig","PPPP",4
"C03",3,"Shazia Sobia Aslam Soomro","PPPP",4
"C03",3,"Syed Ali Qasim Gillani","PPPP",4
"C03",3,"Nawabzada Iftikhar Ahmed Khan Babar","PPPP",2
"C03",3,"Nusrat Wahid","PTI",4
"C03",3,"Nooreen Farooq Khan","PTI",31
"C03",3,"Asma Hadeed","PTI",42
"C03",3,"Ali Nawaz Awan","PTI",36
"C03",3,"Sher Ali Arbab","PTI",19
"C03",3,"Faheem Khan","PTI",25
"C03",3,"Raja Khurram Shahzad Nawaz","PTI",34
"C03",3,"Aamer Mehmood Kiyani","PTI",6
"C03",3,"Rai Muhammad Murtaza Iqbal","PTI",28
"C03",3,"Fauzia Behram","PTI",21
"C03",3,"Dr. Seemin Abdul Rehman Bokhari","PTI",27
"C03",3,"Dr. Muhammad Afzal Khan Dhandla","PTI",20
"C03",3,"Atta Ullah","PTI",25
"C03",3,"Mehboob Shah","PTI",7
"C03",3,"Shunila Ruth","PTI",21
"C03",3,"Zille Huma","PTI",28
"C03",3,"Malik Nawab Sher Waseer","PTI",21
"C03",3,"Muhammad Ibrahim Khan","PTI",42
"C03",3,"Jamshed Thomas","PTI",7
"C03",3,"Makhdoom Syed Sami-ul-Hassan Gillani","PTI",17
"C03",3,"Sajid Khan","PTI",11
"C03",3,"Shahid Ahmad","PTI",11
"C03",3,"Sardar Riaz Mehmood Khan Mazari","PTI",3
"C03",3,"Zahoor Hussain Qureshi","PTI",2
"C03",3,"Sardar Nasrullah Khan Drishak","PTI",2
"C03",3,"Haji Imtiaz Ahmed Choudhary","PTI",15
"C03",3,"Malik Karamat Ali","PTI",15
"C03",3,"Rahat Aman Ullah Bhatti","PTI",18
"C03",3,"Shaheen Naz Saifullah","PTI",18
"C03",3,"Sahibzada Sibghatullah","SIC",6
"C03",3,"Usama Ahmed Mela","SIC",2
"C03",3,"Muhammad Mobeen Arif","SIC",2
"C04",4,"Qaisar Ahmad Sheikh","PML-N",25
"C04",4,"Dr. Nisar Ahmad","PML-N",2
"C04",4,"Shafqat Mehmood","PTI",11
"C04",4,"Asad Umar","PTI",24
