"Name","Party","Degree","EI_Index"
"Riaz Fatyana","PTI",35,-0.352941176470588
"Syed Fakhar Imam","PTI",26,-0.461538461538462
"Amjid Ali Khan","PTI",20,-0.3
"Kishwer Zehra","MQM",58,-0.0714285714285714
"Mian Najibuddin Awaisi","PML-N",16,-0.125
"Nafeesa Inayatullah Khan Khattak","PTI",64,-0.419354838709677
"Zaheer-ud-Din Babar Awan","PTI",4,-1
"Iqbal Muhammad Ali Khan","MQM",63,0.0645161290322581
"Syed Javed Hassnain","PML-N",21,0.333333333333333
"Shazia Marri","PPPP",10,-0.6
"Dr. Nikhat Shakeel Khan","MQM",49,-0.102040816326531
"Muhammad Muzammil Qureshi","MQM",28,-0.785714285714286
"Mohsin Javed","IND",11,0.5
"Sardar Ayaz Sadiq","PML-N",22,-0.0476190476190476
"Shafqat Mehmood","PTI",11,-1
"Muhammad Farogh Nasim","MQM",4,0
"Ms. Nafisa Shah","PPPP",34,0.4
"Usama Qadri","MQM",30,0.448275862068966
"James Iqbal","MMA",23,0.727272727272727
"Salah-ud-Din","MQM",19,0.222222222222222
"Uzma Riaz","PTI",42,-0.268292682926829
"Rana Tanveer Hussain","PML-N",10,-0.8
"Mrs. Aliya Kamran","MMA",35,0.2
"S. A. Iqbal Qadri","MQM",39,-0.384615384615385
"Syed Naveed Qamar","PPPP",15,0.2
"Saman Sultana Jafri","MQM",26,-0.923076923076923
"Sheikh Aftab Ahmed","PML-N",5,-1
"Engineer Sabir Hussain","MQM",21,0.3
"Dr. Abdul Hafeez Sheikh",NA,3,NA
"Shaikh Salahuddin","MQM",48,-0.155555555555556
"Azam Nazeer Tarar","PML-N",4,-0.5
"Asad Umar","PTI",24,-0.833333333333333
"Khawaja Muhammad Asif","PML-N",13,-0.692307692307692
"Syed Rafiullah","PPPP",6,-1
"Dr. Shireen Mehrunnisa Mazari","PTI",25,-0.84
"Shaza Fatima Khawaja","PML-N",18,-0.666666666666667
"Qadir Khan Mandokhail","PPPP",11,0.4
"Khurram Dastgir Khan","PML-N",13,-0.692307692307692
"Sajida Begum","PTI",11,-1
"Naveed Aamir","PPPP",12,0.166666666666667
"Dr. Fouzia Hameed","MQM",32,-0.5
"Ijaz Ahmad Shah","PTI",11,0.636363636363636
"Kesoo Mal Kheeal Das","PML-N",14,-0.428571428571429
"Mrs. Shahida Rehmani","PPPP",14,0.692307692307692
"Moulana Abdul Akbar Chitrali","MMA",29,0.142857142857143
"Dr. Ramesh Kumar Vankwani","PTI",47,0.8
"Muhammad Jamal Ud Din","MMA",17,0.384615384615385
"Ali Muhammad Khan","PTI",22,-0.909090909090909
"Sajid Ahmed","MQM",29,-0.862068965517241
"Naeema Kishwar Khan","JUI",38,0.375
"Marriyum Aurangzeb","PML-N",19,-0.684210526315789
"Syed Amin ul Haque","MQM",21,0.3
"Tahira Aurangzeb","PML-N",42,0.4
"Mohsin Shah Nawaz Ranjha","PML-N",18,-0.444444444444444
"Noor Alam Khan","PTI",10,-0.8
"Sher Akbar Khan",NA,45,NA
"Surriya Asghar","PML-N",5,0.2
