"Legislator","Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Total_Bills"
"Nafeesa Inayatullah Khan Khattak","PTI",64,0.0269197279713035,0.252470799640611,0.0115538386364003,0.0103984564602864,134
"Iqbal Muhammad Ali Khan","MQM",63,0.0176940624076308,0.220219435736677,0.000310647366970649,0.0151387394240077,108
"Kishwer Zehra","MQM",58,0.0102557532478173,0.224261771747805,0.000335113476343243,0.0197756747175481,202
"Seema Mohiuddin Jameeli","PML-N",54,0.0692085732059923,0.265846736045412,2.93657897298776e-05,0.0041604239121501,7
"Dr. Nikhat Shakeel Khan","MQM",49,0.00325972421035688,0.194598337950139,3.09224518198043e-05,0.0109656431002284,86
"Shaikh Salahuddin","MQM",48,0.00438004068029161,0.211596385542169,2.30153345050614e-05,0.0100776307430643,60
"Dr. Ramesh Kumar Vankwani","PTI",47,0.0491788128387811,0.248233215547703,3.15310179110432e-06,0.0050582322163715,41
"Imran Khattak","PTI",46,0.0323929426009654,0.244773519163763,0.00190498362809796,0.00463296250204867,14
"Sher Akbar Khan","JI",45,0.0566795583339101,0.260667903525046,0.000820347357526999,0.00658801294443041,35
"Shahida Akhtar Ali","JUI",43,0.00850296475870779,0.229575163398693,6.99837757985038e-05,0.00530830214397235,18
"Uzma Riaz","PTI",42,0.00341397204478035,0.23874256584537,0.00459036260354683,0.00543932169725555,70
"Tahira Aurangzeb","PML-N",42,0.00174389412952744,0.214503816793893,0.00011129857351293,0.00619863692726458,36
"Asma Hadeed","PTI",42,0.00810622327307861,0.246707638279192,0.000983705116672769,0.00566394166071452,21
"Muhammad Ibrahim Khan","PTI",42,0.0395757938542319,0.263602251407129,0.00160363950600988,0.00243014184743331,3
"S. A. Iqbal Qadri","MQM",39,0.00954464522140114,0.212556732223903,2.0776298001551e-05,0.00879344829665439,65
"Abdul Waseem","MQM",39,0.00154909454846731,0.16716240333135,1.64458897994217e-05,0.00728055380822175,34
"Sanjay Perwani","MQM",39,0.00999634153172139,0.217660728117738,1.37189277048502e-05,0.00585919786225766,34
"Naeema Kishwar Khan","JUI",38,0.00635550406590132,0.228084415584416,3.25233055185611e-06,0.00426243585414566,37
"Ali Nawaz Awan","PTI",36,0.0228260787603033,0.255686988171065,0.00505953096872174,0.00341513783044999,19
"Ali Khan Jadoon","PTI",36,0.00362159118813464,0.241408934707904,0.000166773446496016,0.00384042240911769,11
